Order_ID,Size,Machine,Processing_Time,Finish_Time
87,61,B,27.1,985.2
88,25,A,36.25,908.6500000000002
89,23,A,31.450000000000003,940.1000000000003
90,75,C,36.66666666666667,1024.299073222031
91,41,B,23.1,1008.3000000000001
92,16,A,17.8,957.9000000000002
93,89,C,32.47191011235955,1056.7709833343906
94,78,C,35.64102564102564,1092.4120089754163
95,83,C,34.096385542168676,1126.508394517585
96,5,A,6.25,964.1500000000002
97,70,B,55.0,1063.3000000000002
98,70,B,55.0,1118.3000000000002
99,51,A,135.05,1099.2000000000003
100,40,B,25.0,1143.3000000000002
101,43,B,19.9,1163.2000000000003
102,92,C,31.73913043478261,1158.2475249523675
103,9,A,9.05,1108.2500000000002
104,64,B,34.6,1197.8000000000002
105,68,C,39.41176470588235,1197.65928965825
106,67,C,39.85074626865672,1237.5100359269065
107,10,A,10.0,1118.2500000000002
108,89,C,32.47191011235955,1269.9819460392662
109,42,A,93.2,1211.4500000000003
110,47,B,15.9,1213.7000000000003
111,10,A,10.0,1221.4500000000003
112,14,A,14.8,1236.2500000000002
113,36,B,34.6,1248.3000000000002
114,80,C,35.0,1304.9819460392662
115,11,A,11.05,1247.3000000000002
116,90,C,32.22222222222222,1337.2041682614883
117,66,B,40.6,1288.9
118,76,B,82.60000000000001,1371.5
119,22,A,29.200000000000003,1276.5000000000002
120,21,A,27.05,1303.5500000000002
121,32,A,56.2,1359.7500000000002
122,47,B,15.9,1387.4
123,9,A,9.05,1368.8000000000002
124,6,A,6.8,1375.6000000000001
125,56,C,45.714285714285715,1382.9184539757741
126,85,C,33.529411764705884,1416.44786574048
127,39,B,27.1,1414.5
128,35,A,66.25,1441.8500000000001
129,37,B,31.900000000000002,1446.4
130,51,B,15.1,1461.5
131,23,A,31.450000000000003,1473.3000000000002
132,3,A,5.45,1478.7500000000002
133,79,C,35.31645569620253,1451.7643214366826
134,33,B,43.900000000000006,1505.4
135,73,C,37.397260273972606,1489.1615817106551
136,35,B,37.5,1542.9
137,92,C,31.73913043478261,1520.9007121454376
138,41,B,23.1,1566.0
139,11,A,11.05,1489.8000000000002
140,19,A,23.05,1512.8500000000001
141,62,C,42.25806451612903,1563.1587766615667
142,53,B,15.9,1581.9
143,79,C,35.31645569620253,1598.4752323577693
144,55,B,17.5,1599.4
145,60,B,25.0,1624.4
146,19,A,23.05,1535.9
147,92,C,31.73913043478261,1630.2143627925518
148,17,A,19.450000000000003,1555.3500000000001
149,5,A,6.25,1561.6000000000001
150,1,A,5.05,1566.65
151,44,B,18.6,1643.0
152,69,C,38.98550724637681,1669.1998700389286
153,84,C,33.80952380952381,1703.0093938484524
154,41,A,89.05000000000001,1655.7
155,94,C,31.27659574468085,1734.2859895931333
156,85,C,33.529411764705884,1767.8154013578392
157,18,A,21.2,1676.9
158,91,C,31.978021978021978,1799.7934233358612
159,96,C,30.833333333333332,1830.6267566691945
160,82,B,117.4,1760.4
161,28,A,44.2,1721.1000000000001
162,21,A,27.05,1748.15
163,66,B,40.6,1801.0
164,50,B,15.0,1816.0
165,48,B,15.4,1831.4
166,1,A,5.05,1753.2
167,82,C,34.390243902439025,1865.0170005716336
168,67,B,43.900000000000006,1875.3000000000002
169,100,C,30.0,1895.0170005716336
170,83,C,34.096385542168676,1929.1133861138023
171,67,B,43.900000000000006,1919.2000000000003
172,94,C,31.27659574468085,1960.3899818584832
173,42,A,93.2,1846.4
174,50,B,15.0,1934.2000000000003
175,25,A,36.25,1882.65
176,98,C,30.408163265306122,1990.7981451237893
177,87,C,32.98850574712644,2023.7866508709158
178,94,C,31.27659574468085,2055.0632466155967
179,89,C,32.47191011235955,2087.5351567279563
180,64,B,34.6,1968.8000000000002
181,21,A,27.05,1909.7
182,33,A,59.45,1969.15
183,26,A,38.800000000000004,2007.95
184,86,B,144.6,2113.4
185,3,A,5.45,2013.4
186,63,C,41.74603174603175,2129.281188473988
187,2,A,5.2,2018.6000000000001
188,57,B,19.9,2133.3
189,87,C,32.98850574712644,2162.2696942211146
190,49,A,125.05000000000001,2143.65
191,85,C,33.529411764705884,2195.7991059858205
192,31,B,51.1,2184.4
193,84,C,33.80952380952381,2229.6086297953443
194,1,A,5.05,2148.7000000000003
195,8,A,8.2,2156.9
196,82,C,34.390243902439025,2263.9988736977834
197,84,C,33.80952380952381,2297.8083975073073
198,16,A,17.8,2174.7000000000003
199,35,B,37.5,2221.9
200,99,C,30.2020202020202,2328.0104177093276
201,67,B,43.900000000000006,2265.8
202,66,B,40.6,2306.4
203,75,C,36.66666666666667,2364.677084375994
204,46,A,110.80000000000001,2285.5000000000005
205,17,A,19.450000000000003,2304.9500000000003
206,10,A,10.0,2314.9500000000003
207,19,A,23.05,2338.0000000000005
208,72,B,63.400000000000006,2369.8
209,96,C,30.833333333333332,2395.5104177093276
210,85,C,33.529411764705884,2429.0398294740335
211,68,B,47.4,2417.2000000000003
212,20,A,25.0,2363.0000000000005
213,70,C,38.57142857142857,2467.611258045462
214,67,B,43.900000000000006,2461.1000000000004
215,57,B,19.9,2481.0000000000005
216,70,C,38.57142857142857,2506.1826866168904
217,1,A,5.05,2368.0500000000006
218,29,A,47.050000000000004,2415.100000000001
219,71,B,59.1,2540.1000000000004
220,44,A,101.80000000000001,2516.900000000001
221,99,C,30.2020202020202,2536.3847068189107
222,22,A,29.200000000000003,2546.100000000001
223,25,A,36.25,2582.350000000001
224,70,C,38.57142857142857,2574.956135390339
225,68,B,47.4,2587.5000000000005
226,5,A,6.25,2588.600000000001
227,38,B,29.4,2616.9000000000005
228,12,A,12.2,2600.8000000000006
229,35,C,67.14285714285714,2642.0989925331965
230,84,C,33.80952380952381,2675.9085163427203
231,49,B,15.1,2632.0000000000005
232,83,C,34.096385542168676,2710.004901884889
233,30,A,50.0,2650.8000000000006
234,94,C,31.27659574468085,2741.28149762957
235,29,B,59.1,2691.1000000000004
236,79,C,35.31645569620253,2776.5979533257723
237,75,B,77.5,2768.6000000000004
238,4,A,5.8,2656.600000000001
239,21,A,27.05,2683.650000000001
240,7,A,7.45,2691.100000000001
241,87,C,32.98850574712644,2809.586459072899
242,62,B,29.4,2798.0000000000005
243,1,A,5.05,2696.150000000001
244,43,A,97.45,2793.600000000001
245,70,C,38.57142857142857,2848.1578876443273
246,33,B,43.900000000000006,2841.9000000000005
247,17,A,19.450000000000003,2813.0500000000006
248,49,B,15.1,2857.0000000000005
249,43,B,19.9,2876.9000000000005
250,84,C,33.80952380952381,2881.967411453851
251,82,C,34.390243902439025,2916.3576553562903
252,80,C,35.0,2951.3576553562903
253,14,A,14.8,2827.850000000001
254,35,A,66.25,2894.100000000001
255,43,B,19.9,2896.8000000000006
256,28,A,44.2,2938.3000000000006
257,27,B,67.9,2964.7000000000007
258,10,A,10.0,2948.3000000000006
259,36,B,34.6,2999.3000000000006
260,57,C,45.08771929824562,2996.445374654536
261,2,A,5.2,2953.5000000000005
262,82,C,34.390243902439025,3030.835618556975
263,47,B,15.9,3015.2000000000007
264,80,C,35.0,3065.835618556975
265,87,C,32.98850574712644,3098.8241243041016
266,5,A,6.25,2959.7500000000005
267,79,B,99.10000000000001,3114.3000000000006
268,94,C,31.27659574468085,3130.1007200487825
269,54,A,150.8,3110.5500000000006
270,63,B,31.900000000000002,3146.2000000000007
271,37,B,31.900000000000002,3178.100000000001
272,42,C,57.61904761904762,3187.71976766783
273,23,A,31.450000000000003,3142.0000000000005
274,21,A,27.05,3169.0500000000006
275,92,C,31.73913043478261,3219.4588981026127
276,26,A,38.800000000000004,3207.850000000001
277,45,B,17.5,3195.600000000001
278,49,B,15.1,3210.7000000000007
279,84,C,33.80952380952381,3253.2684219121365
280,12,A,12.2,3220.0500000000006
281,50,B,15.0,3225.7000000000007
282,88,C,32.72727272727273,3285.995694639409
283,43,B,19.9,3245.600000000001
284,66,B,40.6,3286.2000000000007
285,59,B,23.1,3309.3000000000006
286,35,A,66.25,3286.3000000000006
287,6,A,6.8,3293.100000000001
288,38,B,29.4,3338.7000000000007
289,17,A,19.450000000000003,3312.5500000000006
290,81,C,34.691358024691354,3320.6870526641005
291,13,A,13.450000000000001,3326.0000000000005
292,37,B,31.900000000000002,3370.600000000001
293,16,A,17.8,3343.8000000000006
294,38,C,62.63157894736842,3383.318631611469
295,8,A,8.2,3352.0000000000005
296,84,C,33.80952380952381,3417.1281554209927
297,65,B,37.5,3408.100000000001
298,55,B,17.5,3425.600000000001
299,78,C,35.64102564102564,3452.7691810620186
300,56,B,18.6,3444.2000000000007
301,82,C,34.390243902439025,3487.1594249644577
302,17,A,19.450000000000003,3371.4500000000003
303,23,A,31.450000000000003,3402.9
304,15,A,16.25,3419.15
305,56,B,18.6,3462.8000000000006
306,40,B,25.0,3487.8000000000006
307,9,A,9.05,3428.2000000000003
308,72,C,37.77777777777778,3524.9372027422355
309,24,A,33.8,3462.0000000000005
310,95,C,31.05263157894737,3555.989834321183
311,84,C,33.80952380952381,3589.799358130707
312,86,C,33.25581395348837,3623.0551720841954
313,23,A,31.450000000000003,3493.4500000000003
314,42,B,21.4,3509.2000000000007
315,82,B,117.4,3626.600000000001
316,94,C,31.27659574468085,3654.3317678288763
317,31,A,53.050000000000004,3546.5000000000005
318,7,A,7.45,3553.9500000000003
319,64,B,34.6,3661.2000000000007
320,71,C,38.16901408450704,3692.5007819133834
321,64,B,34.6,3695.8000000000006
322,14,A,14.8,3568.7500000000005
323,4,A,5.8,3574.5500000000006
324,2,A,5.2,3579.7500000000005
325,78,C,35.64102564102564,3728.1418075544093
326,48,A,120.2,3699.9500000000003
327,96,C,30.833333333333332,3758.975140887743
328,46,B,16.6,3712.4000000000005
329,97,C,30.61855670103093,3789.593697588774
330,88,C,32.72727272727273,3822.3209703160464
331,1,A,5.05,3705.0000000000005
332,74,B,72.6,3785.0000000000005
333,31,A,53.050000000000004,3758.0500000000006
334,3,A,5.45,3763.5000000000005
335,100,C,30.0,3852.3209703160464
336,77,B,87.9,3872.9000000000005
337,70,C,38.57142857142857,3890.892398887475
338,59,B,23.1,3896.0000000000005
339,8,A,8.2,3771.7000000000003
340,68,C,39.41176470588235,3930.3041635933573
341,1,A,5.05,3776.7500000000005
342,20,A,25.0,3801.7500000000005
343,44,A,101.80000000000001,3903.5500000000006
344,53,B,15.9,3911.9000000000005
345,56,B,18.6,3930.5000000000005
346,39,B,27.1,3957.6000000000004
347,42,B,21.4,3979.0000000000005
348,13,A,13.450000000000001,3917.0000000000005
349,2,A,5.2,3922.2000000000003
350,21,A,27.05,3949.2500000000005
351,30,A,50.0,3999.2500000000005
352,27,C,84.07407407407408,4014.378237667431
353,91,C,31.978021978021978,4046.356259645453
354,64,B,34.6,4013.6000000000004
355,59,B,23.1,4036.7000000000003
356,51,B,15.1,4051.8
357,43,B,19.9,4071.7000000000003
358,100,C,30.0,4076.356259645453
359,23,A,31.450000000000003,4030.7000000000003
360,13,A,13.450000000000001,4044.15
361,36,B,34.6,4106.3
362,42,B,21.4,4127.7
363,90,C,32.22222222222222,4108.578481867676
364,92,C,31.73913043478261,4140.317612302459
365,43,A,97.45,4141.6
366,3,A,5.45,4147.05
367,71,C,38.16901408450704,4178.486626386965
368,66,B,40.6,4168.3
369,4,A,5.8,4152.85
370,65,B,37.5,4205.8
371,25,A,36.25,4189.1
372,27,A,41.45,4230.55
373,31,C,74.51612903225806,4253.002755419224
374,83,C,34.096385542168676,4287.099140961393
375,93,C,31.50537634408602,4318.604517305479
376,83,B,123.9,4329.7
377,90,C,32.22222222222222,4350.826739527702
378,29,A,47.050000000000004,4277.6
379,37,A,73.45,4351.05
380,52,B,15.4,4345.099999999999
381,87,C,32.98850574712644,4383.815245274828
382,24,A,33.8,4384.85
383,81,C,34.691358024691354,4418.506603299519
384,35,B,37.5,4382.599999999999
385,92,C,31.73913043478261,4450.245733734302
386,55,B,17.5,4400.099999999999
387,6,A,6.8,4391.650000000001
388,3,A,5.45,4397.1
389,74,B,72.6,4472.7
390,46,B,16.6,4489.3
391,78,C,35.64102564102564,4485.8867593753275
392,78,C,35.64102564102564,4521.527785016353
393,23,A,31.450000000000003,4428.55
394,88,C,32.72727272727273,4554.255057743626
395,60,B,25.0,4514.3
396,53,B,15.9,4530.2
397,63,B,31.900000000000002,4562.099999999999
398,15,A,16.25,4444.8
399,76,C,36.315789473684205,4590.57084721731
400,77,C,35.97402597402598,4626.544873191336
401,25,A,36.25,4481.05
402,7,A,7.45,4488.5
403,16,A,17.8,4506.3
404,15,A,16.25,4522.55
405,23,A,31.450000000000003,4554.0
406,31,A,53.050000000000004,4607.05
407,63,B,31.900000000000002,4593.999999999999
408,68,B,47.4,4641.399999999999
409,37,B,31.900000000000002,4673.299999999998
410,57,C,45.08771929824562,4671.632592489581
411,49,B,15.1,4688.399999999999
412,32,A,56.2,4663.25
413,52,B,15.4,4703.799999999998
414,37,C,64.05405405405406,4735.686646543635
415,14,A,14.8,4678.05
416,46,B,16.6,4720.399999999999
417,5,A,6.25,4684.3
418,64,B,34.6,4754.999999999999
419,92,C,31.73913043478261,4767.425776978418
420,33,A,59.45,4743.75
421,16,A,17.8,4761.55
422,5,A,6.25,4767.8
423,66,B,40.6,4795.599999999999
424,30,A,50.0,4817.8
425,13,A,13.450000000000001,4831.25
426,64,C,41.25,4808.675776978418
427,78,C,35.64102564102564,4844.3168026194435
428,39,B,27.1,4822.7
429,49,B,15.1,4837.8
430,96,C,30.833333333333332,4875.1501359527765
431,48,B,15.4,4853.2
432,5,A,6.25,4837.5
433,22,A,29.200000000000003,4866.7
434,91,C,31.978021978021978,4907.128157930799
435,96,C,30.833333333333332,4937.961491264132
436,29,B,59.1,4912.3
437,99,C,30.2020202020202,4968.163511466152
438,24,A,33.8,4900.5
439,70,B,55.0,4967.3
440,52,B,15.4,4982.7
441,39,A,81.05,4981.55
442,75,C,36.66666666666667,5004.830178132819
443,4,A,5.8,4987.35
444,60,B,25.0,5007.7
445,12,A,12.2,4999.55
446,92,C,31.73913043478261,5036.569308567602
447,11,A,11.05,5010.6
448,41,B,23.1,5030.8
449,93,C,31.50537634408602,5068.074684911689
450,24,A,33.8,5044.400000000001
451,40,B,25.0,5055.8
452,19,A,23.05,5067.450000000001
453,77,C,35.97402597402598,5104.048710885714
454,21,A,27.05,5094.500000000001
455,19,A,23.05,5117.550000000001
456,48,B,15.4,5071.2
457,75,C,36.66666666666667,5140.715377552381
458,86,C,33.25581395348837,5173.97119150587
459,97,C,30.61855670103093,5204.5897482069
460,35,B,37.5,5108.7
461,62,B,29.4,5138.099999999999
462,26,A,38.800000000000004,5156.350000000001
463,52,B,15.4,5153.499999999999
464,64,B,34.6,5188.099999999999
465,26,A,38.800000000000004,5195.1500000000015
466,99,C,30.2020202020202,5234.791768408921
467,17,A,19.450000000000003,5214.600000000001
468,99,C,30.2020202020202,5264.993788610941
469,97,C,30.61855670103093,5295.612345311972
470,56,B,18.6,5206.7
471,53,B,15.9,5222.599999999999
472,23,A,31.450000000000003,5246.050000000001
473,61,B,27.1,5249.7
474,72,B,63.400000000000006,5313.099999999999
475,20,A,25.0,5271.050000000001
476,53,B,15.9,5328.999999999999
477,97,C,30.61855670103093,5326.230902013002
478,58,B,21.4,5350.399999999999
479,76,C,36.315789473684205,5362.5466914866865
480,57,B,19.9,5370.299999999998
481,40,A,85.0,5356.050000000001
482,79,C,35.31645569620253,5397.863147182889
483,12,A,12.2,5368.250000000001
484,65,B,37.5,5407.799999999998
485,59,B,23.1,5430.899999999999
486,73,C,37.397260273972606,5435.260407456862
487,23,A,31.450000000000003,5399.700000000001
488,56,B,18.6,5449.499999999999
489,24,A,33.8,5433.500000000001
490,58,B,21.4,5470.899999999999
491,88,C,32.72727272727273,5467.987680184135
492,53,B,15.9,5486.799999999998
493,24,A,33.8,5467.300000000001
494,71,C,38.16901408450704,5506.156694268641
495,42,B,21.4,5508.199999999998
496,68,C,39.41176470588235,5545.568458974523
497,50,B,15.0,5523.199999999998
498,24,A,33.8,5501.100000000001
499,90,C,32.22222222222222,5577.790681196746
500,68,B,47.4,5570.599999999998
501,87,C,32.98850574712644,5610.779186943872
502,3,A,5.45,5506.550000000001
503,74,B,72.6,5643.199999999998
504,57,C,45.08771929824562,5655.866906242118
505,54,A,150.8,5657.350000000001
506,35,B,37.5,5680.699999999998
507,53,B,15.9,5696.599999999998
508,38,C,62.63157894736842,5718.498485189486
509,58,B,21.4,5717.999999999997
510,17,A,19.450000000000003,5676.800000000001
511,10,A,10.0,5686.800000000001
512,85,C,33.529411764705884,5752.027896954192
513,16,A,17.8,5704.600000000001
514,91,C,31.978021978021978,5784.005918932215
515,24,A,33.8,5738.4000000000015
516,57,B,19.9,5737.899999999997
517,56,B,18.6,5756.499999999997
518,23,A,31.450000000000003,5769.850000000001
519,62,B,29.4,5785.899999999997
520,35,B,37.5,5823.399999999997
521,16,A,17.8,5787.6500000000015
522,31,A,53.050000000000004,5840.700000000002
523,19,A,23.05,5863.750000000002
524,33,C,70.60606060606061,5854.611979538276
525,60,B,25.0,5848.399999999997
526,70,C,38.57142857142857,5893.183408109704
527,85,C,33.529411764705884,5926.71281987441
528,60,B,25.0,5873.399999999997
529,25,A,36.25,5900.000000000002
530,74,B,72.6,5945.999999999997
531,28,A,44.2,5944.200000000002
532,97,C,30.61855670103093,5957.331376575441
533,29,A,47.050000000000004,5991.250000000002
534,35,B,37.5,5983.499999999997
535,89,C,32.47191011235955,5989.8032866878
536,49,B,15.1,5998.599999999998
537,69,C,38.98550724637681,6028.788793934177
538,77,C,35.97402597402598,6064.762819908203
539,8,A,8.2,5999.450000000002
540,76,B,82.60000000000001,6081.199999999998
541,68,C,39.41176470588235,6104.174584614085
542,97,C,30.61855670103093,6134.7931413151155
543,82,C,34.390243902439025,6169.183385217554
544,93,C,31.50537634408602,6200.688761561641
545,75,B,77.5,6158.699999999998
546,50,A,130.0,6129.450000000002
547,19,A,23.05,6152.500000000002
548,48,B,15.4,6174.099999999998
549,66,B,40.6,6214.699999999998
550,76,C,36.315789473684205,6237.004551035325
551,55,B,17.5,6232.199999999998
552,58,B,21.4,6253.599999999998
553,78,C,35.64102564102564,6272.64557667635
554,60,B,25.0,6278.599999999998
555,42,A,93.2,6245.700000000002
556,73,C,37.397260273972606,6310.042836950322
557,94,C,31.27659574468085,6341.319432695003
558,80,C,35.0,6376.319432695003
559,6,A,6.8,6252.500000000002
560,23,A,31.450000000000003,6283.950000000002
561,11,A,11.05,6295.000000000002
562,61,B,27.1,6305.699999999998
563,76,B,82.60000000000001,6388.299999999998
564,92,C,31.73913043478261,6408.058563129786
565,9,A,9.05,6304.050000000002
566,97,C,30.61855670103093,6438.677119830817
567,55,B,17.5,6405.799999999998
568,12,A,12.2,6316.250000000002
569,37,A,73.45,6389.700000000002
570,62,B,29.4,6435.199999999998
571,86,C,33.25581395348837,6471.9329337843055
572,52,B,15.4,6450.599999999998
573,80,C,35.0,6506.9329337843055
574,93,C,31.50537634408602,6538.438310128392
575,65,B,37.5,6488.099999999998
576,60,B,25.0,6513.099999999998
577,73,C,37.397260273972606,6575.835570402364
578,50,A,130.0,6519.700000000002
579,29,A,47.050000000000004,6566.750000000002
580,100,C,30.0,6605.835570402364
581,57,B,19.9,6532.999999999997
582,9,A,9.05,6575.800000000002
583,76,B,82.60000000000001,6615.599999999998
584,26,A,38.800000000000004,6614.600000000002
585,35,B,37.5,6653.099999999998
586,32,A,56.2,6670.800000000002
587,8,A,8.2,6679.000000000002
588,96,C,30.833333333333332,6636.668903735697
589,78,C,35.64102564102564,6672.309929376723
590,54,B,16.6,6669.699999999998
591,30,B,55.0,6724.699999999998
592,63,C,41.74603174603175,6714.0559611227545
593,44,B,18.6,6743.299999999998
594,81,C,34.691358024691354,6748.7473191474455
595,72,C,37.77777777777778,6786.525096925223
596,41,B,23.1,6766.399999999999
597,37,A,73.45,6752.450000000002
598,10,A,10.0,6762.450000000002
599,87,C,32.98850574712644,6819.513602672349
600,30,A,50.0,6812.450000000002
601,32,B,47.4,6813.799999999998
602,12,A,12.2,6824.6500000000015
603,78,C,35.64102564102564,6855.154628313375
604,12,A,12.2,6836.850000000001
605,85,C,33.529411764705884,6888.684040078081
606,98,C,30.408163265306122,6919.092203343387
607,17,A,19.450000000000003,6856.300000000001
608,82,B,117.4,6931.199999999998
609,63,C,41.74603174603175,6960.838235089419
610,69,B,51.1,6982.299999999998
611,55,B,17.5,6999.799999999998
612,83,C,34.096385542168676,6994.934620631588
613,1,A,5.05,6861.350000000001
614,46,A,110.80000000000001,6972.1500000000015
615,78,C,35.64102564102564,7030.575646272613
616,86,C,33.25581395348837,7063.831460226102
617,36,B,34.6,7034.399999999999
618,12,A,12.2,6984.350000000001
619,66,B,40.6,7074.999999999999
620,25,A,36.25,7020.600000000001
621,97,C,30.61855670103093,7094.450016927132
622,23,A,31.450000000000003,7052.050000000001
623,55,B,17.5,7092.499999999999
624,44,B,18.6,7111.099999999999
625,39,A,81.05,7133.100000000001
626,20,A,25.0,7158.100000000001
627,52,B,15.4,7126.499999999999
628,36,C,65.55555555555556,7160.005572482688
629,99,C,30.2020202020202,7190.207592684708
630,98,C,30.408163265306122,7220.615755950014
631,38,B,29.4,7155.899999999999
632,39,B,27.1,7182.999999999999
633,48,B,15.4,7198.399999999999
634,49,B,15.1,7213.499999999999
635,6,A,6.8,7164.9000000000015
636,43,B,19.9,7233.399999999999
637,58,B,21.4,7254.799999999998
638,85,C,33.529411764705884,7254.145167714721
639,51,B,15.1,7269.899999999999
640,20,A,25.0,7189.9000000000015
641,26,A,38.800000000000004,7228.700000000002
642,42,B,21.4,7291.299999999998
643,44,C,55.45454545454545,7309.599713169266
644,90,C,32.22222222222222,7341.821935391488
645,52,B,15.4,7306.699999999998
646,49,B,15.1,7321.799999999998
647,62,B,29.4,7351.199999999998
648,51,A,135.05,7363.750000000002
649,42,B,21.4,7372.599999999998
650,99,C,30.2020202020202,7372.023955593509
651,43,B,19.9,7392.499999999997
652,38,B,29.4,7421.899999999997
653,68,C,39.41176470588235,7411.435720299391
654,55,B,17.5,7439.399999999997
655,64,C,41.25,7452.685720299391
656,18,A,21.2,7384.950000000002
657,46,B,16.6,7455.999999999997
658,89,C,32.47191011235955,7485.15763041175
659,91,C,31.978021978021978,7517.135652389772
660,1,A,5.05,7390.000000000002
661,55,B,17.5,7473.499999999997
662,28,A,44.2,7434.200000000002
663,65,B,37.5,7510.999999999997
664,26,A,38.800000000000004,7473.000000000002
665,4,A,5.8,7478.800000000002
666,12,A,12.2,7491.000000000002
667,94,C,31.27659574468085,7548.412248134453
668,89,C,32.47191011235955,7580.884158246812
669,2,A,5.2,7496.200000000002
670,4,A,5.8,7502.000000000002
671,80,C,35.0,7615.884158246812
672,53,B,15.9,7526.899999999997
673,70,B,55.0,7581.899999999997
674,17,A,19.450000000000003,7521.450000000002
675,72,B,63.400000000000006,7645.2999999999965
676,47,A,115.45,7636.9000000000015
677,15,A,16.25,7653.1500000000015
678,77,C,35.97402597402598,7651.858184220838
679,38,B,29.4,7674.699999999996
680,38,B,29.4,7704.099999999996
681,63,C,41.74603174603175,7693.60421596687
682,37,A,73.45,7726.600000000001
683,42,B,21.4,7725.499999999995
684,9,A,9.05,7735.6500000000015
685,74,C,37.02702702702703,7730.631242993896
686,12,A,12.2,7747.850000000001
687,72,C,37.77777777777778,7768.409020771674
688,44,B,18.6,7744.099999999996
689,1,A,5.05,7752.9000000000015
690,82,C,34.390243902439025,7802.799264674112
691,63,B,31.900000000000002,7775.999999999995
692,33,A,59.45,7812.350000000001
693,74,C,37.02702702702703,7839.826291701139
694,92,C,31.73913043478261,7871.565422135922
695,72,B,63.400000000000006,7839.399999999995
696,9,A,9.05,7821.4000000000015
697,41,B,23.1,7862.499999999995
698,44,B,18.6,7881.099999999996
699,91,C,31.978021978021978,7903.543444113944
700,22,A,29.200000000000003,7850.600000000001
701,68,B,47.4,7928.499999999995
702,14,A,14.8,7865.4000000000015
703,71,C,38.16901408450704,7941.712458198451
704,27,A,41.45,7906.850000000001
705,93,C,31.50537634408602,7973.217834542537
706,1,A,5.05,7911.9000000000015
707,33,A,59.45,7971.350000000001
708,94,C,31.27659574468085,8004.494430287218
709,58,B,21.4,7949.899999999995
710,87,C,32.98850574712644,8037.482936034345
711,56,B,18.6,7968.499999999995
712,9,A,9.05,7980.4000000000015
713,76,B,82.60000000000001,8051.099999999996
714,72,C,37.77777777777778,8075.260713812122
715,91,C,31.978021978021978,8107.238735790144
716,18,A,21.2,8001.600000000001
717,92,C,31.73913043478261,8138.977866224927
718,68,B,47.4,8098.499999999995
719,67,B,43.900000000000006,8142.399999999995
720,19,A,23.05,8024.6500000000015
